Puntaje_Real,Puntaje_Predicho,Error_Absoluto
86.5,83.48481291263712,3.015187087362875
83.67,82.51977824118853,1.150221758811469
83.83,82.43942348554877,1.3905765144512259
83.33,82.81242576494522,0.5175742350547807
84.17,84.86311074353176,0.6931107435317614
85.42,82.49863765548243,2.9213623445175756
82.92,81.71095230148971,1.2090476985102896
84.08,84.04874905902568,0.03125094097431713
83.5,82.67448324371499,0.8255167562850119
81.5,81.38395512889483,0.11604487110517425
78.75,80.47403205052589,1.7240320505258921
83.92,82.10480738188357,1.815192618116427
82.0,82.35818150614288,0.35818150614288413
83.58,82.6994082258589,0.8805917741410951
82.92,83.73539227725838,0.8153922772583826
86.0,84.01425413386602,1.985745866133982
84.92,82.1465779438688,2.7734220561311957
84.58,82.98670157606013,1.5932984239398706
83.17,81.82744380760465,1.3425561923953495
82.0,80.96362163695345,1.036378363046552
81.67,82.05577637425954,0.38577637425953526
84.17,81.95597895803246,2.2140210419675412
82.17,83.64998308649446,1.4799830864944568
73.5,82.3631240060658,8.863124006065803
78.5,80.89691450319893,2.3969145031989285
81.08,85.17739360921587,4.097393609215871
84.92,83.00418679604155,1.9158132039584501
80.25,81.72338991553774,1.4733899155377372
80.75,81.20346079806309,0.4534607980630909
80.75,81.87215758672126,1.1221575867212579
81.33,83.57984940359765,2.2498494035976506
78.0,81.21652106756065,3.216521067560649
79.0,82.19458440603199,3.194584406031993
83.58,83.36306837251432,0.2169316274856783
82.0,82.92245194604736,0.9224519460473601
83.42,82.35576682220507,1.0642331777949323
84.17,82.13291894201242,2.037081057987578
78.75,82.33081202563638,3.5808120256363765
79.75,81.58587926074658,1.8358792607465801
83.0,82.72665719719909,0.2733428028009115
84.5,82.8079281785579,1.6920718214420987
83.08,82.28778234496333,0.7922176550366657
82.5,82.52049583609079,0.02049583609078809
83.08,83.46140275609402,0.38140275609401897
83.25,83.13111757525243,0.11888242474756794
82.17,81.90304752194025,0.26695247805974986
82.92,82.73799827755137,0.1820017224486321
84.42,83.73961961639816,0.6803803836018432
80.67,82.52320006637298,1.8532000663729775
81.92,82.23869503389432,0.31869503389431486
83.5,82.06945676880824,1.4305432311917627
80.25,82.19623308461334,1.9462330846133398
85.92,83.4532482362293,2.466751763770702
80.33,82.06922741318178,1.73922741318178
83.08,83.67172289081911,0.5917228908191134
82.33,82.06412419862838,0.2658758013716209
85.83,85.25251568040848,0.5774843195915196
82.42,80.84217160848786,1.577828391512142
84.5,82.90281679760466,1.5971832023953425
84.92,82.40627597150598,2.5137240284940248
79.08,82.51540001793211,3.4354000179321105
82.08,83.02149009304922,0.9414900930492252
82.75,81.66777677526136,1.082223224738641
82.67,82.74516140249366,0.07516140249366288
83.5,83.08981072892973,0.4101892710702657
82.25,83.38244128495745,1.1324412849574514
82.42,83.03305284108598,0.6130528410859739
83.08,83.11574014927358,0.035740149273578936
82.67,81.85811152300808,0.8118884769919248
80.25,82.5814345907695,2.331434590769504
77.83,82.25811521487663,4.428115214876627
82.33,82.12393266146248,0.20606733853752246
82.58,82.52902519995433,0.05097480004566535
76.75,81.42407100326483,4.674071003264828
79.75,81.69813297279931,1.9481329727993142
77.33,81.23589374266528,3.9058937426652847
81.25,82.14010558849363,0.8901055884936255
82.75,82.21769883252703,0.5323011674729656
80.5,81.83636623766408,1.3363662376640804
81.67,82.52317787836859,0.8531778783685837
79.0,80.70923980088419,1.7092398008841911
81.5,82.56309792737622,1.0630979273762193
83.42,84.35930190854363,0.9393019085436265
82.75,82.84557968278521,0.095579682785214
80.58,82.91858993208096,2.338589932080964
80.5,81.10234034240578,0.6023403424057818
81.67,82.57214841149435,0.9021484114943519
84.5,82.42626876677129,2.0737312332287132
81.5,82.24145590240379,0.7414559024037857
78.58,81.91106048048965,3.331060480489654
83.25,84.05842243886596,0.8084224388659607
83.75,81.9147386795548,1.8352613204451984
81.08,81.61011908921645,0.5301190892164556
84.25,80.83687513111732,3.413124868882676
81.83,82.40421834577208,0.5742183457720813
83.75,82.55968362231135,1.1903163776886458
84.67,81.75725804017976,2.912741959820238
81.67,82.55968362231135,0.8896836223113525
83.5,83.09729895855493,0.40270104144507
82.92,84.03299087498246,1.112990874982458
82.75,81.76018856836649,0.9898114316335125
80.25,81.71907103430735,1.4690710343073476
82.42,82.66447360269805,0.24447360269805074
83.75,80.71299295940373,3.037007040596265
84.25,83.78068304719558,0.46931695280441943
82.25,81.78070141276244,0.4692985872375601
81.92,82.68432884982654,0.7643288498265406
83.83,82.54157849726117,1.288421502738828
88.08,86.26318621791168,1.8168137820883175
84.58,84.64495063948276,0.0649506394827597
