Species,Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Color,Category.Two.Defects,altitude_mean_meters,categoria_altitud,Nombre_Comercial,Cluster
Arabica,jacques pereira carneiro,Brazil,sul de minas - carmo de minas,300,60 kg,Specialty Coffee Association,"January 4th, 2011",Yellow Bourbon,Natural / Dry,8.17,7.92,7.92,7.75,8.33,8.0,8.08,86.17,0.08,0,Green,2,12.0,Baja (Arabica),Legacy JAC,0
Arabica,jacques pereira carneiro,Brazil,sul de minas - carmo de minas,300,60 kg,Specialty Coffee Association,"January 4th, 2011",Yellow Bourbon,Natural / Dry,8.42,7.92,8.0,7.75,7.92,8.0,8.17,86.17,0.01,0,Green,3,12.0,Baja (Arabica),Legacy JAC,0
Arabica,"lin, che-hao krude 林哲豪",Taiwan,natou county,10,15 kg,Specialty Coffee Association,"June 10th, 2015",Bourbon,Semi-Washed / Semi-Pulped,8.08,8.17,7.75,8.08,7.75,7.83,8.42,86.08,0.12,0,Green,0,1000.0,Media (Arabica),Private Reserve LIN,0
Arabica,jungle estate,Kenya,nyeri,12,60 kg,Kenya Coffee Traders Association,"January 29th, 2015",SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,8.0,86.08,0.11,0,Blue-Green,2,1754.0,Alta (Arabica),Premium Batch JUN,0
Arabica,nucoffee,Brazil,south of minas,7,60 kg,NUCOFFEE,"December 3rd, 2011",Bourbon,Semi-Washed / Semi-Pulped,8.33,8.0,8.0,8.0,7.75,8.0,8.0,86.08,0.11,0,Blue-Green,2,1250.0,Media (Arabica),Zenith NUC,0
Arabica,great lakes coffee uganda,Uganda,eastern uganda,1,60 kg,Uganda Coffee Development Authority,"October 1st, 2014",SL14,Semi-Washed / Semi-Pulped,8.08,8.08,7.83,7.92,8.08,7.92,8.08,86.0,0.0,0,Green,0,1675.0,Alta (Arabica),Grand Cru GRE,0
Arabica,lusso lab,Colombia,tolima,1,2 kg,Specialty Coffee Association,"March 20th, 2014",Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,8.17,86.0,0.12,1,Green,1,1200.0,Media (Arabica),Legacy LUS,0
Arabica,lusso lab,Kenya,kiambu,1,1 kg,Specialty Coffee Association,"February 6th, 2014",SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,8.17,86.0,0.11,0,Green,1,1860.0,Premium (Arabica),Legacy LUS,0
Arabica,afca,Uganda,"sipi, mt elgon",1,60 kg,Africa Fine Coffee Association,"February 13th, 2012",Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,7.92,86.0,0.1,0,Blue-Green,0,1650.0,Alta (Arabica),Equinox AFC,0
Arabica,ethiopia commodity exchange,Ethiopia,sidamo,300,6,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.75,8.08,8.0,8.25,8.0,8.0,7.92,86.0,0.01,0,Green,4,1750.0,Alta (Arabica),Golden Bean ETH,0
