Species,Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Color,Category.Two.Defects,altitude_mean_meters,categoria_altitud
Arabica,rashid moledina & co. (msa) ltd.,Kenya,central kenya,20,60 kg,Kenya Coffee Traders Association,"April 19th, 2013",SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,7.92,85.33,0.0,0,Green,2,1600.0,Alta (Arabica)
Arabica,ibero kenya limited,Kenya,central kenya,300,60 kg,Kenya Coffee Traders Association,"March 12th, 2013",SL34,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,7.83,85.33,0.0,0,Green,6,1200.0,Media (Arabica)
Arabica,ethiopia commodity exchange,Ethiopia,yirgacheffe,360,6 kg,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.83,7.83,7.92,8.08,7.75,7.83,8.08,85.33,0.05,0,Green,2,1800.0,Premium (Arabica)
Arabica,ethiopia commodity exchange,Ethiopia,yirgacheffe,300,6,Ethiopia Commodity Exchange,"June 17th, 2010",Typica,Natural / Dry,7.92,7.83,7.75,8.33,7.75,7.75,8.0,85.33,0.1,0,Green,3,1800.0,Premium (Arabica)
Arabica,juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,"April 27th, 2016",Bourbon,Washed / Wet,8.0,7.92,7.75,8.0,7.92,7.83,7.83,85.25,0.1,0,Green,2,448.25716800000004,Baja (Arabica)
Arabica,exportadora de cafe condor s.a,Colombia,santander,275,70 kg,Almacafé,"April 8th, 2015",Caturra,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,7.92,85.25,0.11,0,Green,0,1550.0,Alta (Arabica)
Arabica,compañia colombiana agroindustrial s.a,Colombia,santander,250,70 kg,Almacafé,"January 17th, 2014",Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,7.92,85.25,0.12,0,Green,2,1550.0,Alta (Arabica)
Arabica,"nomura trading co., ltd.",Indonesia,lintong,54,60 kg,Specialty Coffee Association,"November 26th, 2012",Sumatra Lintong,Semi-Washed / Semi-Pulped,7.75,7.83,7.67,8.0,8.08,7.83,8.0,85.17,0.11,0,Green,3,1325.0,Media (Arabica)
Arabica,the coffee source inc.,Guatemala,huehuetenango,250,1 kg,Specialty Coffee Association,"January 18th, 2012",Caturra,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,7.92,85.17,0.0,0,Green,7,1400.0,Media (Arabica)
Arabica,seid damtew coffee planataion,Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",320,19200 kg,METAD Agricultural Development plc,"August 9th, 2016",Other,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,7.83,85.08,0.11,0,Green,8,1800.0,Premium (Arabica)
Arabica,carcafe ltda ci,Colombia,pasto,250,70 kg,Almacafé,"August 18th, 2015",Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,7.67,85.08,0.0,0,Green,0,2560.0,Premium (Arabica)
Arabica,steven kil,Ethiopia,aricha,100,60 kg,Specialty Coffee Association,"October 7th, 2014",Other,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,8.08,85.08,0.1,2,Green,7,1700.0,Alta (Arabica)
Arabica,eileen koyanagi,United States (Hawaii),kona,12,100 lbs,Specialty Coffee Association,"March 10th, 2014",Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,7.92,85.08,0.11,2,Blue-Green,2,157.93516800000003,Baja (Arabica)
Arabica,carcafe ltda ci,Colombia,cundinamarca,250,70 kg,Almacafé,"March 16th, 2012",Caturra,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,8.08,85.08,0.11,0,Green,8,2136.0,Premium (Arabica)
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,13,100 lbs,Specialty Coffee Association,"December 27th, 2010",Hawaiian Kona,Natural / Dry,8.08,8.17,7.92,8.0,8.08,8.0,8.17,85.08,0.01,1,Blue-Green,7,157.93516800000003,Baja (Arabica)
Arabica,ethiopia commodity exchange,Ethiopia,sidamo,360,6,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.67,8.0,7.83,8.0,7.92,7.83,7.83,85.08,0.0,0,Green,5,1800.0,Premium (Arabica)
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,27,0 lbs,Specialty Coffee Association,"May 17th, 2010",Hawaiian Kona,Natural / Dry,7.5,7.92,8.25,7.83,7.92,7.75,7.92,85.08,0.0,0,Blue-Green,0,157.93516800000003,Baja (Arabica)
Arabica,kyagalanyi coffee ltd,Uganda,eastern uganda,200,60 kg,Uganda Coffee Development Authority,"July 24th, 2017",SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,8.0,85.0,0.11,0,Green,1,1800.0,Premium (Arabica)
Arabica,racafe & cia s.c.a,Colombia,huila,135,70 kg,Almacafé,"February 15th, 2017",Caturra,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,7.83,85.0,0.0,0,Green,3,1750.0,Alta (Arabica)
Arabica,troy quimby,Costa Rica,tarrazu,36,46 kg,Specialty Coffee Association,"January 30th, 2017",Catuai,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,7.92,85.0,0.12,1,Green,1,1900.0,Premium (Arabica)
Arabica,"el equimite, cafetal biodinámico",Mexico,veracruz,1,30 kg,Centro Agroecológico del Café A.C.,"September 21st, 2016",Typica,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,8.08,85.0,0.09,0,Green,3,1300.0,Media (Arabica)
Arabica,simon mahinda,Kenya,Other,170,60 kg,Kenya Coffee Traders Association,"May 7th, 2016",SL28,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,7.83,85.0,0.11,0,Green,7,1.0,Baja (Arabica)
Arabica,rashid moledina & co. (msa) ltd.,Kenya,central kenya,38,60 kg,Kenya Coffee Traders Association,"April 19th, 2013",SL34,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,7.83,85.0,0.0,0,Green,5,1580.0,Alta (Arabica)
