DecisionTree,RandomForest,GradientBoosting,RandomForest_Optimized,GradientBoosting_Optimized
0.0,1.3357167266946116e-06,0.0,0.0,0.0
0.0,0.00018014267709029938,6.699987166823846e-05,0.0,4.75028757749663e-05
0.0,7.296016980297863e-07,0.0,7.228848130464526e-07,0.0
0.0,4.187163716315035e-07,0.0,9.520258633716347e-08,0.0
0.0,3.978979895152986e-06,0.0,0.0,0.0
5.833765842100066e-07,5.086446079316208e-06,0.0,4.139046909645106e-06,9.28720148857239e-06
0.0,5.414267975549675e-07,0.0,7.427347210550231e-07,0.0
0.0,1.820853364965821e-06,0.0,1.4747774998397316e-06,0.0
0.00081946678866255,0.000295987534490227,0.0,0.0002758849794771572,0.0
0.0,1.4828387510929226e-09,0.0,5.972429286869521e-07,0.0
0.0,8.852453548490644e-06,0.0,7.975767959968044e-06,0.0
1.020909022336423e-06,6.232518838502505e-05,9.3461495895042e-05,3.5318798910401555e-05,0.0
0.0,6.324845689841972e-05,0.0,2.9946162802801606e-05,0.0
0.0,9.259516463309089e-07,0.0,0.0,0.0
0.0,0.00026519509776948427,0.0,5.700369452276182e-05,0.0
0.0,2.7199741419222395e-05,0.0,1.7404657598271e-05,0.0
1.701590995175785e-06,6.725040442307701e-05,0.0,8.571787070087579e-05,0.0
5.088593407046174e-06,0.0004837755719703263,0.0010314520576386879,0.00039193353986716764,9.2217240843479e-05
0.0,1.9244913165157437e-05,0.0,0.0002532307688972596,0.0
4.375324392456042e-07,9.755086181228108e-05,0.0,2.197454559746427e-05,6.27758860941466e-05
0.0014859740996608227,0.0008078569367748212,0.0001648832130033462,0.0007202420992512609,0.0
2.4441712786087256e-05,4.704191468335591e-05,0.0,1.2896863825486277e-06,0.00014954328522559743
0.0,6.7406973670358386e-09,0.0,0.0,0.0
8.286365732697262e-05,1.7130648754062434e-05,0.0,6.5284836807781035e-06,0.0
0.0,6.883829838448467e-07,0.0,6.360113759026951e-07,0.0
1.3125973125139363e-06,2.6811695190396974e-06,0.0,5.8878518905572255e-06,0.0
0.0,1.417869585867425e-07,0.0,0.0,0.0
3.3815218591496806e-05,0.0004116768987868096,0.0006444663850774949,0.00038949572028459093,0.00011683952611680053
0.0,1.1022779751717795e-05,0.0,3.303342816732735e-06,0.0
4.37532437877708e-07,3.402356263870724e-05,0.002138583429521623,2.786941304793596e-05,0.0011198485423951582
0.0,3.1481537112345643e-07,0.0,3.0524506347416385e-07,0.0
0.0,5.809147894750073e-06,0.0,1.2454491437776347e-05,0.0
0.0010486849588639592,0.0002457508631682625,0.0,0.0005226042190629299,0.0
0.0,9.995570909587644e-06,0.0,1.8706491119786258e-05,0.0
0.0,2.2831728669223093e-05,9.135248902772323e-05,3.510738211048191e-05,4.716115436932484e-05
9.245379446139048e-05,7.635024613401699e-05,0.0,7.799215095860114e-05,0.0
0.0,2.4491752038402336e-05,0.0,2.3514800111522408e-05,0.0
3.7019346114760685e-06,3.33339599277395e-05,0.0,1.9197708919946932e-05,0.0
5.537519916093099e-07,3.905871931634645e-05,0.0,3.6299790977737436e-05,0.0
4.974167926129479e-16,0.0001573358509137007,5.5640082777890495e-05,0.00015078845553875053,0.0
4.3753243775335383e-07,0.0004876376176563037,0.0,0.00037559711123027984,2.861678688988054e-05
0.0,5.664315569326982e-05,0.0,0.0001470407896446459,0.0002559003575468449
2.880535823341939e-05,9.08516301379348e-05,0.0,8.012096379600459e-05,0.0
0.0,2.6716068188091757e-08,0.0,0.0,0.0
0.0,1.152577469569966e-06,0.0,1.1248427761224592e-07,0.0
0.0,0.00026103787197107866,0.0,0.0003023833726213904,1.283219433703168e-06
0.0,2.793747352404869e-06,0.0,1.3148804678179245e-06,0.0
0.0,3.5180358207948767e-07,0.0,0.0,0.0
0.0,5.303643641343154e-09,0.0,0.0,0.0
0.0,3.5106775734171935e-07,0.0,2.6842169885013815e-07,0.0
0.0,0.00013905522889957008,0.00015294110197198955,0.00010777439112484729,0.00012143056125709505
0.0,2.1210188397348893e-08,0.0,0.0,0.0
0.0,7.984272767442276e-06,0.0,2.7689201504144828e-06,0.0
0.0,8.762481100117951e-07,0.0,4.230698600574765e-07,0.0
0.0,6.648020675736512e-05,0.0,7.161024241663856e-05,0.0
0.0,5.417544034621108e-07,0.0,3.219181566370835e-06,0.0
2.2054369449613933e-05,1.2636610872895697e-05,5.4832871918358775e-05,9.232703229711602e-06,0.0
0.0,1.3497127609119384e-07,0.0,2.553293055925878e-07,0.0
0.0,2.7009056844098325e-07,0.0,7.960274635895288e-08,0.0
0.0,7.386059177541091e-07,0.0,0.0,0.0
0.0,2.3335788683971284e-07,0.0,0.0,0.0
0.0,8.489252492314825e-07,0.0,4.1120176779707106e-07,0.0
0.0,0.00029197469291241085,0.00028250451398188303,0.00012576227609614266,0.000380184702848999
0.0,1.0344771962956055e-07,0.0,0.0,0.0
0.0,7.161680605318608e-06,0.0,7.407411644660772e-06,0.0
0.0,0.0,0.0,0.0,0.0
0.0,1.7918865010701235e-08,0.0,0.0,0.0
0.0,4.2607477279730165e-08,0.0,1.0502826984599422e-07,0.0
0.0,2.9041710086196496e-07,0.0,0.0,0.0
0.0,1.2916087115034978e-06,0.0,3.3130770905433687e-07,0.0
0.0,1.895390049833409e-08,0.0,0.0,0.0
0.0,2.9268096092982276e-08,0.0,1.9785038062216499e-07,0.0
0.0,1.2169429691181352e-07,0.0,0.0,0.0
0.0,2.992624688364807e-07,0.0,8.957286110014524e-08,0.0
0.0,1.7871452957923036e-07,0.0,0.0,0.0
